'id', 'childLabel', 'parent', 'size', { role: 'style' }
0,connect, -1, 1,  black
1, 'mix', 0, 1, black
2, 'exchange', 1, 1, green
3, 'use an intermediary (IP24)', 2, 1, red
4, 'merge two or more objects temporarily', 3, 1,  purple
5, 'use an inhibitory binding protein', 4, 1,  purple
6, 'dissolve boundaries', 4, 1,  purple
7, 'use an adhesive', 4, 1,  purple
8, 'spider muscle', 7, 1,  blue
9, 'chameleon suction trap', 7, 1,  blue
10, 'use an intermediary object', 3, 1,  purple
11, 'use an object with some power of attraction', 10, 1,  purple
12, 'use an attractive quality', 11, 1,  purple
13, 'use an attractive thing', 11, 1,  purple
14, 'use a sensor to monitor mediation', 10, 1,  purple
15, 'use action of an intermediary', 3, 1,  purple
16, 'use a acatalyst', 15, 1,  purple
17, 'pea aphid sterol', 16, 1,  blue
18, 'use the action of a hormone', 15, 1,  purple
19, 'copulation corrupts immunity', 18, 1,  blue
20, 'use an exchanger', 15, 1,  purple
21, 'modify radiation conditions', 15, 1,  purple
22, 'reflect radiation wavelengths', 21, 1,  purple
23, 'reflect radiation intensity', 21, 1,  purple
24, 'diffuse with a sharp edge', 21, 1,  purple
25, 'use an intermediary carrier', 3, 1,  purple
26, 'neural threshold', 25, 1,  blue
27, 'use a template', 25, 1,  purple
28, 'use a transfer mould', 25, 1,  purple
29, 'use a chemical cue', 25, 1,  purple
30, 'foraging pheromone', 29, 1,  blue
31, 'adsorb onto a surface', 25, 1,  purple
32, 'contract', 1, 1, green
33, 'convert to dynamics (IP15)', 32, 1, red
34, 'deploy a structure', 33, 1,  purple
35, 'deploy a deformation along a structure', 34, 1,  purple
36, 'use a double helical mechanism', 34, 1,  purple
37, 'make parts independently moveable', 33, 1,  purple
38, 'ant-lion', 37, 1,  blue
39, 'make parts independently responsive', 37, 1,  purple
40, 'optimal sensory processing', 39, 1,  blue
41, 'increase degrees of freedom', 37, 1,  purple
42, 'lubricate', 37, 1,  purple
43, 'nacre mechanics', 42, 1,  blue
44, 'use independent suspension', 37, 1,  purple
45, 'evolution favours phenotypic quality cues over individuality cues', 33, 1,  purple
46, 'change from static to dynamic field', 33, 1,  purple
47, 'piano finger', 46, 1,  blue
48, 'change stationary to moveable', 33, 1,  purple
49, 'copepods predator-prey interactions', 48, 1,  blue
50, 'progress to optimal operating conditions', 33, 1,  purple
51, 'ant decisions', 50, 1,  blue
52, 'lignified seaweed', 50, 1,  blue
53, 'optimise process', 50, 1,  purple
54, 'optimise environment', 50, 1,  purple
55, 'change developmental process', 50, 1,  purple
56, 'growth-rate lifespan', 55, 1,  blue
57, 'resistance-tolerance', 55, 1,  blue
58, 'maintain a dynamic equilibrium', 50, 1,  purple
59, 'filter-feeding shark', 58, 1,  blue
60, 'optimise object', 50, 1,  purple
61, 'ensure structure is flexible', 50, 1,  purple
62, 'change response threshold', 50, 1,  purple
63, 'toad vision', 62, 1,  blue
64, 'post-error dynamics', 62, 1,  blue
65, 'neural threshold', 62, 1,  blue
66, 'optimal sensory processing', 62, 1,  blue
67, 'copulation corrupts immunity', 62, 1,  blue
68, 'acclimatise', 50, 1,  purple
69, 'means to increase adaptiveness', 50, 1,  purple
70, 'grazing copepods', 69, 1,  blue
71, 'adaptive control', 69, 1,  purple
72, 'gene network size', 71, 1,  blue
73, 'change genotype', 69, 1,  purple
74, 'phenotypic variability', 69, 1,  purple
75, 'change phenotype', 69, 1,  purple
76, 'consolidate (IP05)', 32, 1, red
77, 'accumulate information', 76, 1,  purple
78, 'use an integrated accumulator', 77, 1,  purple
79, 'post-error dynamics', 78, 1,  blue
80, 'neural threshold', 78, 1,  blue
81, 'integrate several objects or systems', 77, 1,  purple
82, 'toad vision', 81, 1,  blue
83, 'generate a network', 81, 1,  purple
84, 'gene network size', 83, 1,  blue
85, 'use a linear ballistic accumulator', 77, 1,  purple
86, 'optimal sensory processing', 85, 1,  blue
87, 'group similar objects together', 76, 1,  purple
88, 'sick bees', 87, 1,  blue
89, 'assemble identical objects', 76, 1,  purple
90, 'polymerise monomers', 89, 1,  purple
91, 'form a swarm or group', 89, 1,  purple
92, 'specialise material or system function', 89, 1,  purple
93, 'generate an array', 89, 1,  purple
94, 'merge components', 76, 1,  purple
95, 'bloodworm mandible', 94, 1,  blue
96, 'epitaxial bonding', 94, 1,  purple
97, 'bind selectively', 94, 1,  purple
98, 'fitness and stability', 97, 1,  blue
99, 'segment before merging', 94, 1,  purple
100, 'functionally separated bifunctional component', 94, 1,  purple
101, 'move everything up towards the front end', 94, 1,  purple
102, 'make operations contiguous', 76, 1,  purple
103, 'make operations parallel', 76, 1,  purple
104, 'fragment', 1, 1, green
105, 'consolidate (IP05)', 104, 1, red
106, 'accumulate information', 105, 1,  purple
107, 'use an integrated accumulator', 106, 1,  purple
108, 'post-error dynamics', 107, 1,  blue
109, 'neural threshold', 107, 1,  blue
110, 'integrate several objects or systems', 106, 1,  purple
111, 'toad vision', 110, 1,  blue
112, 'generate a network', 110, 1,  purple
113, 'gene network size', 112, 1,  blue
114, 'use a linear ballistic accumulator', 106, 1,  purple
115, 'optimal sensory processing', 114, 1,  blue
116, 'group similar objects together', 105, 1,  purple
117, 'sick bees', 116, 1,  blue
118, 'assemble identical objects', 105, 1,  purple
119, 'polymerise monomers', 118, 1,  purple
120, 'form a swarm or group', 118, 1,  purple
121, 'specialise material or system function', 118, 1,  purple
122, 'generate an array', 118, 1,  purple
123, 'merge components', 105, 1,  purple
