'id', 'childLabel', 'parent', 'size', { role: 'style' }
0,control_magnitude, -1, 1,  black
1, 'actuate', 0, 1, black
2, 'trigger', 1, 1, green
3, 'use feedback (IP23)', 2, 1, red
4, 'use physiological feedback', 3, 1,  purple
5, 'use automatic control', 3, 1,  purple
6, 'implement quality control', 5, 1,  purple
7, 'ejaculate economics', 6, 1,  blue
8, 'optimise the signal-to-noise ratio', 6, 1,  purple
9, 'toad vision', 8, 1,  blue
10, 'be sensitive to environmental cues', 5, 1,  purple
11, 'copepods predator-prey interactions', 10, 1,  blue
12, 'use natural selection', 5, 1,  purple
13, 'use adaptive evolution', 5, 1,  purple
14, 'fitness and stability', 13, 1,  blue
15, 'use a form of sensory feedback', 3, 1,  purple
16, 'use proprioception', 15, 1,  purple
17, 'use position feedback', 16, 1,  purple
18, 'ant-lion', 17, 1,  blue
19, 'use vibrational feedback', 15, 1,  purple
20, 'use optical feedback', 15, 1,  purple
21, 'use feedback from flowing fluid', 15, 1,  purple
22, 'copepods predator-prey interactions', 21, 1,  blue
23, 'use audio feedback', 15, 1,  purple
24, 'use a broad frequency band', 23, 1,  purple
25, 'detect a shift or change in frequency', 23, 1,  purple
26, 'use visual feedback', 15, 1,  purple
27, 'use gravity feedback', 15, 1,  purple
28, 'use a mechanical feedback', 15, 1,  purple
29, 'piano finger', 28, 1,  blue
30, 'use population control', 3, 1,  purple
31, 'use neural or electronic feedback', 3, 1,  purple
32, 'use behavioural feedback', 3, 1,  purple
33, 'grazing copepods', 32, 1,  blue
34, 'filter-feeding shark', 32, 1,  blue
35, 'learn', 32, 1,  purple
36, 'false alarms', 35, 1,  blue
37, 'come to a concensual agreement', 32, 1,  purple
38, 'ant decisions', 37, 1,  blue
39, 'sick bees', 37, 1,  blue
40, 'follow a pre-existing trail', 32, 1,  purple
41, 'use positive feedback', 3, 1,  purple
42, 'foraging pheromone', 41, 1,  blue
43, 'use a nonlinear positive feedback', 41, 1,  purple
44, 'ant decisions', 43, 1,  blue
45, 'excite', 41, 1,  purple
46, 'amplify feedback', 41, 1,  purple
47, 'use passive feedback', 3, 1,  purple
48, 'set sensitivity inverse to input signal', 47, 1,  purple
49, 'allow genetic feedback and control', 3, 1,  purple
50, 'use morphological feedback', 3, 1,  purple
51, 'use error correction', 3, 1,  purple
52, 'post-error dynamics', 51, 1,  blue
53, 'use linear feedback', 3, 1,  purple
54, 'use negative feedback', 3, 1,  purple
55, 'initiate stability control', 54, 1,  purple
56, 'inhibit', 54, 1,  purple
57, 'activate', 1, 1, green
58, 'convert to dynamics (IP15)', 57, 1, red
59, 'deploy a structure', 58, 1,  purple
60, 'use a double helical mechanism', 59, 1,  purple
61, 'deploy a deformation along a structure', 59, 1,  purple
62, 'progress to optimal operating conditions', 58, 1,  purple
63, 'ant decisions', 62, 1,  blue
64, 'lignified seaweed', 62, 1,  blue
65, 'maintain a dynamic equilibrium', 62, 1,  purple
66, 'filter-feeding shark', 65, 1,  blue
67, 'optimise process', 62, 1,  purple
68, 'change response threshold', 62, 1,  purple
69, 'toad vision', 68, 1,  blue
70, 'post-error dynamics', 68, 1,  blue
71, 'neural threshold', 68, 1,  blue
72, 'optimal sensory processing', 68, 1,  blue
73, 'copulation corrupts immunity', 68, 1,  blue
74, 'change developmental process', 62, 1,  purple
75, 'growth-rate lifespan', 74, 1,  blue
76, 'resistance-tolerance', 74, 1,  blue
77, 'optimise object', 62, 1,  purple
78, 'acclimatise', 62, 1,  purple
79, 'optimise environment', 62, 1,  purple
80, 'ensure structure is flexible', 62, 1,  purple
81, 'means to increase adaptiveness', 62, 1,  purple
82, 'grazing copepods', 81, 1,  blue
83, 'adaptive control', 81, 1,  purple
84, 'gene network size', 83, 1,  blue
85, 'phenotypic variability', 81, 1,  purple
86, 'change phenotype', 81, 1,  purple
87, 'change genotype', 81, 1,  purple
88, 'make parts independently moveable', 58, 1,  purple
89, 'ant-lion', 88, 1,  blue
90, 'increase degrees of freedom', 88, 1,  purple
91, 'use independent suspension', 88, 1,  purple
92, 'lubricate', 88, 1,  purple
93, 'nacre mechanics', 92, 1,  blue
94, 'make parts independently responsive', 88, 1,  purple
95, 'optimal sensory processing', 94, 1,  blue
96, 'evolution favours phenotypic quality cues over individuality cues', 58, 1,  purple
97, 'change from static to dynamic field', 58, 1,  purple
98, 'piano finger', 97, 1,  blue
99, 'change stationary to moveable', 58, 1,  purple
100, 'copepods predator-prey interactions', 99, 1,  blue
101, 'prepare for action (IP10)', 57, 1, red
102, 'degree of specialisation', 101, 1,  purple
103, 'generalise', 102, 1,  purple
104, 'specialise', 102, 1,  purple
105, 'adapt physiology', 101, 1,  purple
106, 'foraging pheromone', 105, 1,  blue
107, 'ant decisions', 105, 1,  blue
108, 'copulation corrupts immunity', 105, 1,  blue
109, 'decrease immune response', 105, 1,  purple
110, 'corticosteroid and feathers', 109, 1,  blue
111, 'increase immune response', 105, 1,  purple
112, 'adapt morphology', 101, 1,  purple
113, 'Gambusia swimming', 112, 1,  blue
114, 'use a breakable membrane', 112, 1,  purple
115, 'invest more energy into structure', 112, 1,  purple
116, 'pre-adapt', 112, 1,  purple
117, 'adapt behaviour', 101, 1,  purple
118, 'acquire resource', 117, 1,  purple
119, 'copepods predator-prey interactions', 118, 1,  blue
120, 'store resource', 117, 1,  purple
121, 'store nutrition', 120, 1,  purple
122, 'store elastic energy', 120, 1,  purple
123, 'use stored resource', 120, 1,  purple
124, 'ejaculate economics', 123, 1,  blue
125, 'jasmonate and auxin', 123, 1,  blue
126, 'store water', 120, 1,  purple
127, 'adapt timing', 101, 1,  purple
128, 'use seasonal periodicity', 127, 1,  purple
129, 'develop dormancy', 128, 1,  purple
130, 'use daily periodicity', 127, 1,  purple
131, 'diurnal activity', 130, 1,  purple
132, 'crepuscular activity', 130, 1,  purple
133, 'nocturnal activity', 130, 1,  purple
134, 'develop ability to predict', 127, 1,  purple
135, 'post-error dynamics', 134, 1,  blue
136, 'piano finger', 134, 1,  blue
137, 'respond to photoperiod', 134, 1,  purple
138, 'use feedback (IP23)', 57, 1, red
139, 'use physiological feedback', 138, 1,  purple
140, 'use automatic control', 138, 1,  purple
141, 'implement quality control', 140, 1,  purple
142, 'ejaculate economics', 141, 1,  blue
143, 'optimise the signal-to-noise ratio', 141, 1,  purple
144, 'toad vision', 143, 1,  blue
145, 'be sensitive to environmental cues', 140, 1,  purple
