'id', 'childLabel', 'parent', 'size', { role: 'style' }
0,convert, -1, 1,  black
1, 'develop', 0, 1, black
2, 'prepare for action (IP10)', 1, 1, red
3, 'adapt timing', 2, 1,  purple
4, 'use daily periodicity', 3, 1,  purple
5, 'diurnal activity', 4, 1,  purple
6, 'crepuscular activity', 4, 1,  purple
7, 'nocturnal activity', 4, 1,  purple
8, 'use seasonal periodicity', 3, 1,  purple
9, 'develop dormancy', 8, 1,  purple
10, 'develop ability to predict', 3, 1,  purple
11, 'post-error dynamics', 10, 1,  blue
12, 'piano finger', 10, 1,  blue
13, 'respond to photoperiod', 10, 1,  purple
14, 'adapt physiology', 2, 1,  purple
15, 'foraging pheromone', 14, 1,  blue
16, 'ant decisions', 14, 1,  blue
17, 'copulation corrupts immunity', 14, 1,  blue
18, 'decrease immune response', 14, 1,  purple
19, 'corticosteroid and feathers', 18, 1,  blue
20, 'increase immune response', 14, 1,  purple
21, 'adapt morphology', 2, 1,  purple
22, 'Gambusia swimming', 21, 1,  blue
23, 'pre-adapt', 21, 1,  purple
24, 'use a breakable membrane', 21, 1,  purple
25, 'invest more energy into structure', 21, 1,  purple
26, 'adapt behaviour', 2, 1,  purple
27, 'acquire resource', 26, 1,  purple
28, 'copepods predator-prey interactions', 27, 1,  blue
29, 'store resource', 26, 1,  purple
30, 'store elastic energy', 29, 1,  purple
31, 'use stored resource', 29, 1,  purple
32, 'ejaculate economics', 31, 1,  blue
33, 'jasmonate and auxin', 31, 1,  blue
34, 'store nutrition', 29, 1,  purple
35, 'store water', 29, 1,  purple
36, 'degree of specialisation', 2, 1,  purple
37, 'specialise', 36, 1,  purple
38, 'generalise', 36, 1,  purple
39, 'prepare a defence (IP09)', 1, 1, red
40, 'initiate pre-emptive behaviour', 39, 1,  purple
41, 'initiate a counteraction to wave or wind', 40, 1,  purple
42, 'stick to the substrate', 41, 1,  purple
43, 'try boldness', 40, 1,  purple
44, 'avoid negative event', 40, 1,  purple
45, 'let a population migrate', 44, 1,  purple
46, 'take avoiding action', 44, 1,  purple
47, 'false alarms', 46, 1,  blue
48, 'adopt a defensive strategy', 40, 1,  purple
49, 'prepare a mechanical defence', 39, 1,  purple
50, 'change size', 49, 1,  purple
51, 'develop an impermeable membrane', 49, 1,  purple
52, 'encapsulate an alien object', 51, 1,  purple
53, 'change toughness', 49, 1,  purple
54, 'change strength', 49, 1,  purple
55, 'initiate antiaction', 39, 1,  purple
56, 'apply opposite prestrain', 55, 1,  purple
57, 'expel', 55, 1,  purple
58, 'excrete', 55, 1,  purple
59, 'prevent', 55, 1,  purple
60, 'stop', 55, 1,  purple
61, 'suppress', 55, 1,  purple
62, 'dissipate energy', 55, 1,  purple
63, 'inhibit', 55, 1,  purple
64, 'repel', 55, 1,  purple
65, 'groom', 55, 1,  purple
66, 'groom oneself', 65, 1,  purple
67, 'groom a conspecific (allo-grooming)', 65, 1,  purple
68, 'prepare a defensive object', 39, 1,  purple
69, 'develop a repellant surface structure', 68, 1,  purple
70, 'prepare a behavioural defence', 39, 1,  purple
71, 'make the surface slippery', 70, 1,  purple
72, 'produce a gel or mucus', 71, 1,  purple
73, 'nacre mechanics', 72, 1,  blue
74, 'initiate diversionary behaviour', 70, 1,  purple
75, 'make a smokescreen', 74, 1,  purple
76, 'use a mask', 70, 1,  purple
