'id', 'childLabel', 'parent', 'size', { role: 'style' }
0,signal, -1, 1,  black
1, 'sense', 0, 1, black
2, 'detect', 1, 1, green
3, 'smell', 2, 1, orange
4, 'use feedback (IP23)', 3, 1, red
5, 'use a form of sensory feedback', 4, 1,  purple
6, 'use a mechanical feedback', 5, 1,  purple
7, 'piano finger', 6, 1,  blue
8, 'use gravity feedback', 5, 1,  purple
9, 'use vibrational feedback', 5, 1,  purple
10, 'use visual feedback', 5, 1,  purple
11, 'use optical feedback', 5, 1,  purple
12, 'use feedback from flowing fluid', 5, 1,  purple
13, 'copepods predator-prey interactions', 12, 1,  blue
14, 'use proprioception', 5, 1,  purple
15, 'use position feedback', 14, 1,  purple
16, 'ant-lion', 15, 1,  blue
17, 'use audio feedback', 5, 1,  purple
18, 'detect a shift or change in frequency', 17, 1,  purple
19, 'use a broad frequency band', 17, 1,  purple
20, 'use negative feedback', 4, 1,  purple
21, 'initiate stability control', 20, 1,  purple
22, 'inhibit', 20, 1,  purple
23, 'use population control', 4, 1,  purple
24, 'use linear feedback', 4, 1,  purple
25, 'use morphological feedback', 4, 1,  purple
26, 'allow genetic feedback and control', 4, 1,  purple
27, 'use neural or electronic feedback', 4, 1,  purple
28, 'use behavioural feedback', 4, 1,  purple
29, 'grazing copepods', 28, 1,  blue
30, 'filter-feeding shark', 28, 1,  blue
31, 'come to a concensual agreement', 28, 1,  purple
32, 'ant decisions', 31, 1,  blue
33, 'sick bees', 31, 1,  blue
34, 'follow a pre-existing trail', 28, 1,  purple
35, 'learn', 28, 1,  purple
36, 'false alarms', 35, 1,  blue
37, 'use positive feedback', 4, 1,  purple
38, 'foraging pheromone', 37, 1,  blue
39, 'amplify feedback', 37, 1,  purple
40, 'use a nonlinear positive feedback', 37, 1,  purple
41, 'ant decisions', 40, 1,  blue
42, 'excite', 37, 1,  purple
43, 'use physiological feedback', 4, 1,  purple
44, 'use error correction', 4, 1,  purple
45, 'post-error dynamics', 44, 1,  blue
46, 'use passive feedback', 4, 1,  purple
47, 'set sensitivity inverse to input signal', 46, 1,  purple
48, 'use automatic control', 4, 1,  purple
49, 'use natural selection', 48, 1,  purple
50, 'implement quality control', 48, 1,  purple
51, 'ejaculate economics', 50, 1,  blue
52, 'optimise the signal-to-noise ratio', 50, 1,  purple
53, 'toad vision', 52, 1,  blue
54, 'be sensitive to environmental cues', 48, 1,  purple
55, 'copepods predator-prey interactions', 54, 1,  blue
56, 'use adaptive evolution', 48, 1,  purple
57, 'fitness and stability', 56, 1,  blue
58, 'prepare for action (IP10)', 3, 1, red
59, 'adapt behaviour', 58, 1,  purple
60, 'acquire resource', 59, 1,  purple
61, 'copepods predator-prey interactions', 60, 1,  blue
62, 'store resource', 59, 1,  purple
63, 'use stored resource', 62, 1,  purple
64, 'ejaculate economics', 63, 1,  blue
65, 'jasmonate and auxin', 63, 1,  blue
66, 'store water', 62, 1,  purple
67, 'store nutrition', 62, 1,  purple
68, 'store elastic energy', 62, 1,  purple
69, 'degree of specialisation', 58, 1,  purple
70, 'generalise', 69, 1,  purple
71, 'specialise', 69, 1,  purple
72, 'adapt timing', 58, 1,  purple
73, 'develop ability to predict', 72, 1,  purple
74, 'post-error dynamics', 73, 1,  blue
75, 'piano finger', 73, 1,  blue
76, 'respond to photoperiod', 73, 1,  purple
77, 'use daily periodicity', 72, 1,  purple
78, 'nocturnal activity', 77, 1,  purple
79, 'crepuscular activity', 77, 1,  purple
80, 'diurnal activity', 77, 1,  purple
81, 'use seasonal periodicity', 72, 1,  purple
82, 'develop dormancy', 81, 1,  purple
83, 'adapt physiology', 58, 1,  purple
84, 'foraging pheromone', 83, 1,  blue
85, 'ant decisions', 83, 1,  blue
86, 'copulation corrupts immunity', 83, 1,  blue
87, 'increase immune response', 83, 1,  purple
88, 'decrease immune response', 83, 1,  purple
89, 'corticosteroid and feathers', 88, 1,  blue
90, 'adapt morphology', 58, 1,  purple
91, 'Gambusia swimming', 90, 1,  blue
92, 'use a breakable membrane', 90, 1,  purple
93, 'pre-adapt', 90, 1,  purple
94, 'invest more energy into structure', 90, 1,  purple
95, 'extract and separate (IP02)', 3, 1, red
96, 'isolate useful function', 95, 1,  purple
97, 'isolate with a membrane', 96, 1,  purple
98, 'insulate', 96, 1,  purple
99, 'extract information', 95, 1,  purple
100, 'extract solids', 95, 1,  purple
101, 'digest solids', 100, 1,  purple
102, 'separation in space', 95, 1,  purple
103, 'extract fluids', 95, 1,  purple
104, 'adsorb selectively', 103, 1,  purple
105, 'diffuse selectively', 103, 1,  purple
106, 'digest fluids', 103, 1,  purple
107, 'absorb selectively', 103, 1,  purple
108, 'separation in time', 95, 1,  purple
109, 'feed selectively', 95, 1,  purple
110, 'filter-feeding shark', 109, 1,  blue
111, 'use a filter', 109, 1,  purple
112, 'remove interference', 95, 1,  purple
113, 'selective dissolution', 112, 1,  purple
114, 'filter noisy signal', 112, 1,  purple
115, 'use an intermediary (IP24)', 3, 1, red
116, 'use an intermediary object', 115, 1,  purple
117, 'use an object with some power of attraction', 116, 1,  purple
118, 'use an attractive quality', 117, 1,  purple
119, 'use an attractive thing', 117, 1,  purple
120, 'use a sensor to monitor mediation', 116, 1,  purple
121, 'use an intermediary carrier', 115, 1,  purple
122, 'neural threshold', 121, 1,  blue
123, 'use a chemical cue', 121, 1,  purple
124, 'foraging pheromone', 123, 1,  blue
125, 'use a transfer mould', 121, 1,  purple
126, 'adsorb onto a surface', 121, 1,  purple
127, 'use a template', 121, 1,  purple
128, 'use action of an intermediary', 115, 1,  purple
129, 'modify radiation conditions', 128, 1,  purple
130, 'diffuse with a sharp edge', 129, 1,  purple
131, 'reflect radiation wavelengths', 129, 1,  purple
132, 'reflect radiation intensity', 129, 1,  purple
133, 'use a acatalyst', 128, 1,  purple
134, 'pea aphid sterol', 133, 1,  blue
135, 'use an exchanger', 128, 1,  purple
136, 'use the action of a hormone', 128, 1,  purple
137, 'copulation corrupts immunity', 136, 1,  blue
138, 'merge two or more objects temporarily', 115, 1,  purple
139, 'use an inhibitory binding protein', 138, 1,  purple
140, 'use an adhesive', 138, 1,  purple
141, 'spider muscle', 140, 1,  blue
142, 'chameleon suction trap', 140, 1,  blue
143, 'dissolve boundaries', 138, 1,  purple
144, 'locate', 2, 1, orange
145, 'use feedback (IP23)', 144, 1, red
146, 'use a form of sensory feedback', 145, 1,  purple
147, 'use a mechanical feedback', 146, 1,  purple
148, 'piano finger', 147, 1,  blue
149, 'use gravity feedback', 146, 1,  purple
150, 'use vibrational feedback', 146, 1,  purple
151, 'use visual feedback', 146, 1,  purple
152, 'use optical feedback', 146, 1,  purple
153, 'use feedback from flowing fluid', 146, 1,  purple
154, 'copepods predator-prey interactions', 153, 1,  blue
155, 'use proprioception', 146, 1,  purple
156, 'use position feedback', 155, 1,  purple
157, 'ant-lion', 156, 1,  blue
